Year,Round,Race,Correlation,PodiumHits,DriversSimulated,TotalLaps
2025,1,Australian Grand Prix,0.2716720524820721,2.0,16,57
2025,2,Chinese Grand Prix,0.2518587616520329,2.0,16,57
2025,3,Japanese Grand Prix,0.35000000000000003,1.0,16,57
2025,4,Bahrain Grand Prix,0.4944813700724185,0.0,16,57
2025,5,Saudi Arabian Grand Prix,0.2781457706657354,1.0,16,57
2025,6,Miami Grand Prix,0.6312711831282203,0.0,16,57
2025,7,Emilia Romagna Grand Prix,0.7352941176470589,2.0,16,57
2025,8,Monaco Grand Prix,0.55,3.0,16,57
2025,9,Spanish Grand Prix,0.6578368226856283,2.0,16,57
2025,10,Canadian Grand Prix,0.09705882352941177,1.0,16,57
2025,11,Austrian Grand Prix,0.15634286311119475,1.0,16,57
2025,12,British Grand Prix,0.12741090295338137,1.0,16,57
2025,13,Belgian Grand Prix,0.5735294117647058,2.0,16,57
2025,14,Hungarian Grand Prix,0.4676470588235294,2.0,16,57
2025,15,Dutch Grand Prix,0.1103753058197363,1.0,16,57
2025,16,Italian Grand Prix,0.7505520795742068,2.0,16,57
2025,17,Azerbaijan Grand Prix,0.488235294117647,1.0,16,57
2025,18,Singapore Grand Prix,0.6617647058823529,2.0,16,57
2025,19,United States Grand Prix,0.5294117647058824,2.0,16,57
2025,20,Mexico City Grand Prix,0.40118168647400915,1.0,16,57
2025,21,São Paulo Grand Prix,0.2781457706657354,1.0,16,57
2025,22,Las Vegas Grand Prix,0.35852835482230566,1.0,16,57
2025,23,Qatar Grand Prix,0.6872702375708912,2.0,16,57
2025,24,Abu Dhabi Grand Prix,,,16,58
